timestamp,app_name,package,usage_time,total_screen_time,fuzzy_level,
2025-11-24T23:01:10.877303,Instagram,com.instagram.android,Sosial,0 jam 49 menit 26 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:53:31.260334,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 30 menit 0 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,17 jam 47 menit 21 detik,Sedang
2025-11-24T23:53:31.260334,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,17 jam 47 menit 21 detik,Sedang
2025-11-25T00:09:23.687673,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:09:23.687673,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:29:24.218271,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T00:59:23.945641,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Tinggi
